Roll,Item
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Cucco Feathers <:Cucco_Feathers:938273747452981259>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"<:monster:1199952229826830437>  You encountered a Gloom Hands! This foe is especially tough...Multiple people can fight this monster! <:monster:1199952229826830437> 
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Gloom Hands**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll gloomhands```"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Rugged Horn <:Rugged_Horn:938273747994042418>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Leather <:leather:934905096435802132>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Raw Gourmet Meat <:Raw_Gourmet_Meat:744755927240147055>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Raw Whole Bird <:Raw_Whole_Bird:744755927827218433>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Moblin! <:monster:1199952229826830437>
```/tableroll blackmoblin to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Bird Egg <:Bird_Egg:744756613621088256>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Wood <:Item_Wood:744752612339089479>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Apple <:Apple_item:744756612085841980>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Bird Feather <:bird_feather:938297693766311959>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Raw Bird Drumstick <:Raw_Bird_Drumstick:744755926422257686>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Raw Bird Thigh <:Raw_Bird_Thigh:744755927114186842>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Raw Meat <:Raw_Meat:744755927139352587>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Rock Salt <:Rock_Salt:744752642349203489>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Bokoblin! <:monster:1199952229826830437>
```/tableroll blackbokoblin to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Fairy <:fairy:629098628769906688>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Small)! <:monster:1199952229826830437>
```/tableroll chuchusmall to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Small)! <:monster:1199952229826830437>
```/tableroll chuchusmall to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Lizalfos! <:monster:1199952229826830437>
```/tableroll lizalfos to continue"
