Roll,Item
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
A quiet day. No monsters were encountered. 
```"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Ice Chuchu (Small)! <:monster:1199952229826830437>
```/tableroll chuchusmall to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Water Octorok! <:monster:1199952229826830437>
```/tableroll wateroctorok to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Evermean! <:monster:1199952229826830437>
```/tableroll evermean to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Small)! <:monster:1199952229826830437>
```/tableroll chuchusmall to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Lizalfos! <:monster:1199952229826830437>
```/tableroll lizalfos to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Bokoblin! <:monster:1199952229826830437>
```/tableroll blackbokoblin to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Lizalfos! <:monster:1199952229826830437>
```/tableroll bluelizalfos to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Moblin! <:monster:1199952229826830437>
```/tableroll bluemoblin to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Horriblin! <:monster:1199952229826830437>
```/tableroll horriblin to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Moblin! <:monster:1199952229826830437>
```/tableroll moblin to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Lizalfos! <:monster:1199952229826830437>
```/tableroll blacklizalfos to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Moblin! <:monster:1199952229826830437>
```/tableroll blackmoblin to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Bokoblin! <:monster:1199952229826830437>
```/tableroll silverbokoblin to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Golden Bokoblin! <:monster:1199952229826830437>
```/tableroll goldenbokoblin to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Lizalfos! <:monster:1199952229826830437>
```/tableroll silverlizalfos to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Moblin! <:monster:1199952229826830437>
```/tableroll silvermoblin to continue"
