Roll,Item
17,"  You encountered a Rare Talus! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Rare Talus**
💙💙💙💙💙💙💙💙💙💙
Hearts:14/14

Use the following command to begin the battle!
```/tableroll tier7```

After the battle is over, everyone who participated please roll the following!
```/tableroll talusrare```"
14,"  You encountered a Igneo Talus! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Igneo Talus**
💙💙💙💙💙💙💙💙💙💙
Hearts:12/12

Use the following command to begin the battle!
```/tableroll tier6```

After the battle is over, everyone who participated please roll the following!
```/tableroll talusigneo```"
12,"  You encountered a Stone Talus! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Stone Talus**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll stonetalus```"
12,"  You encountered a Gloom Hands! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Gloom Hands**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll gloomhands```"
12,"  You encountered a Stalnox! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Stalnox**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll stalnox```"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Gibdo! <:monster:1199952229826830437>
```/tableroll gibdo to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Cursed Bokoblin! <:monster:1199952229826830437>
```/tableroll cursedskull to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Cursed Lizalfos! <:monster:1199952229826830437>
```/tableroll cursedskull to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Cursed Moblin! <:monster:1199952229826830437>
```/tableroll cursedskull to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
