Roll,Item
12,"  You encountered a Golden Lizalfos! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Golden Lizalfos**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll goldenlizalfos```"
12,"  You encountered a Golden Moblin! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Golden Moblin**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll goldenmoblin```"
12,"  You encountered a Gloom Hands! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Gloom Hands**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll gloomhands```"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Lizalfos! <:monster:1199952229826830437>
```/tableroll silverlizalfos to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Moblin! <:monster:1199952229826830437>
```/tableroll silvermoblin to continue"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Lizalfos! <:monster:1199952229826830437>
```/tableroll blacklizalfos to continue"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Moblin! <:monster:1199952229826830437>
```/tableroll blackmoblin to continue"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Electric Lizalfos! <:monster:1199952229826830437>
```/tableroll electriclizalfos to continue"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Bokoblin! <:monster:1199952229826830437>
```/tableroll silverbokoblin to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Bokoblin! <:monster:1199952229826830437>
```/tableroll blackbokoblin to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Lizalfos! <:monster:1199952229826830437>
```/tableroll bluelizalfos to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Moblin! <:monster:1199952229826830437>
```/tableroll bluemoblin to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Moblin! <:monster:1199952229826830437>
```/tableroll moblin to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Electric Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Lizalfos! <:monster:1199952229826830437>
```/tableroll lizalfos to continue"
