Roll,Item
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Acorn <:Acorn:744756611792502795>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Chickaloo Tree Nut <:Chickaloo_Tree_Nut:744756613448990764>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Fairy <:fairy:629098628769906688>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You foraged a Hylian Shroom <:Shroom_Hylian:744756624874537070>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Blue Nightshade <:Blue_Nightshade:744756171243651184>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Wood <:Item_Wood:744752612339089479>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Apple <:Apple_item:744756612085841980>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You foraged a Chillshroom <:Shroom_Chill:744756624996171797>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You foraged a Ironshroom <:Shroom_Iron:744756624765222993>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Mighty Thistle <:Mighty_Thistle:744756171780391052>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You foraged a Razorshroom <:Shroom_Razor:744756624429940798>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Silent Princess <:Silent_Princess:744756172220792878>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Tree Branch <:Tree_Branch:938167623919747122>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Korok Leaf <:Korok_Leaf:938167742203314227>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Brightbloom Seed <:Brightbloom_Seed:1199961911316455505>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Ice Rose <:Ice_Rose:938273747452968970>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
