Roll,text
9,"💥💀 The monster attacks! You lose ALL hearts! You are KO'd.
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"💥💀 The monster attacks! You lose ❤️❤️❤️❤️❤️ 5 hearts!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"💥💀 The monster attacks! You lose ❤️❤️❤️❤️ 4 hearts!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"💥💀 The monster attacks! You lose ❤️❤️❤️ 3 hearts!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"💥💀 The monster attacks! You lose ❤️❤️ 2 hearts!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"⚔️🏹 You attack!  But the monster dodges. 💫
💥💀 The monster attacks! You lose ❤️ 1 heart!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"💥💀 The monster attacks! But you dodge! 💨
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"💥💀 The monster attacks! But you dodge! 💨
⚔️🏹 You attack! The monster loses 💙1 heart!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"⚔️🏹 You attack! The monster loses 💙1 heart!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
9,"⚔️🏹 You attack! The monster loses 💙💙2 hearts!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
10,"⚔️🏹 You attack! The monster loses 💙💙💙3 hearts!
``` 
**__Steps__** 
- /tableroll tier7 
- Character Hearts 
- Monster Hearts 
- Next person goes / You go again"
