Roll,Item
10,"  You encountered a Rare Talus! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Rare Talus**
💙💙💙💙💙💙💙💙💙💙
Hearts:14/14

Use the following command to begin the battle!
```/tableroll tier7```

After the battle is over, everyone who participated please roll the following!
```/tableroll talusrare```"
9,"  You encountered a Igneo Talus! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Igneo Talus**
💙💙💙💙💙💙💙💙💙💙
Hearts:12/12

Use the following command to begin the battle!
```/tableroll tier6```

After the battle is over, everyone who participated please roll the following!
```/tableroll talusigneo```"
7,"  You encountered a Blue Hinox! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Blue Hinox**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll bluehinox```"
7,"  You encountered a Meteo Wizzrobe! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Meteo Wizzrobe**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll meteowizzrobe```"
7,"  You encountered a Gloom Hands! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Gloom Hands**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll gloomhands```"
7,"  You encountered a Hinox! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Hinox**
💙💙💙💙💙💙💙💙💙💙
Hearts:10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll hinox```"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Wizzrobe! <:monster:1199952229826830437>
```/tableroll firewizzrobe to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Golden Bokoblin! <:monster:1199952229826830437>
```/tableroll goldenbokoblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Lizalfos! <:monster:1199952229826830437>
```/tableroll silverlizalfos to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Moblin! <:monster:1199952229826830437>
```/tableroll silvermoblin to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Lizalfos! <:monster:1199952229826830437>
```/tableroll blacklizalfos to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Moblin! <:monster:1199952229826830437>
```/tableroll blackmoblin to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire-breath Lizalfos! <:monster:1199952229826830437>
```/tableroll firebreathlizalfos to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Moth Gibdo! <:monster:1199952229826830437>
```/tableroll mothgibdo to continue"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Silver Bokoblin! <:monster:1199952229826830437>
```/tableroll silverbokoblin to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Bokoblin! <:monster:1199952229826830437>
```/tableroll blackbokoblin to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Lizalfos! <:monster:1199952229826830437>
```/tableroll bluelizalfos to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Blue Moblin! <:monster:1199952229826830437>
```/tableroll bluemoblin to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Gibdo! <:monster:1199952229826830437>
```/tableroll gibdo to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Moblin! <:monster:1199952229826830437>
```/tableroll moblin to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Igneo Pebblit! <:monster:1199952229826830437>
```/tableroll igneopebblit to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Stone Pebblit! <:monster:1199952229826830437>
```/tableroll stonepebblit to continue"
2,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
