Roll,Item
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Diamond <:Gem_Diamond:744752572585345054>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Emerald <:gem_emerald:934905147518230659>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Lava Drop <:Lava_Drop:938273747218083900>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Ruby <:Gem_Ruby:744752573168484394>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Sapphire <:Gem_Sapphire:744752573680058449>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Topaz <:Gem_Topaz:744752573696704525>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"  You encountered a Gloom Hands! This foe is especially tough...Multiple people can fight this monster!  
```
- Please only roll **ONE CHARACTER**  per battle in order to give other members a chance to roll. 
- Wait for others to roll, do not roll multiple times in a row. You may roll again only after no one else has rolled for for 2 or more minutes.
- Please only use characters in the village the monster appear in!
- Characters can heal during battle! They do not need to wait for a mod to approve the healing, it can be done in the channel the battle is happening in
- Members must keep track of the monster hearts! After each person rolls, that person is responsible for posting the remaining hearts. No one else is allowed to roll until this is done. 

**Gloom Hands**
**Hearts:**10/10

Use the following command to begin the battle!
```/tableroll tier5```

After the battle is over, everyone who participated please roll the following!
```/tableroll gloomhands```"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Eldin Ore <:eldin_ore:938297694189924443>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Goron Ore <:Goron_Ore:938273747478151189>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Opal <:Gem_Opal:744752572899786813>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Gold Ore <:gold_ore:934904427310092288>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Luminous Stone <:Gem_Luminous_Stone:938243012545363978>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Silver Ore <:silver_ore:934904426202808350>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Like Like! <:monster:1199952229826830437>
```/tableroll likelike to continue"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Moblin! <:monster:1199952229826830437>
```/tableroll blackmoblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Ancient Shaft <:Ancient_Shaft:744752391756447846>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Ancient Spring <:Ancient_Spring:744752392322547792>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Fairy Dust <:Fairy_Dust:938273747419398255>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Flint <:Flint:744755087196291165>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Gold Dust <:gold_dust:935601947841540186>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Rock Salt <:Rock_Salt:744752642349203489>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated Silver Dust <:silver_dust:935601947816370226>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Gibdo! <:monster:1199952229826830437>
```/tableroll gibdo to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Horriblin! <:monster:1199952229826830437>
```/tableroll horriblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Bokoblin! <:monster:1199952229826830437>
```/tableroll blackbokoblin to continue"
