Roll,Item
12,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
A quiet day. No monsters were encountered. 
```"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Electric Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Electric Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Electric Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Forest Octorok! <:monster:1199952229826830437>
```/tableroll forestoctorok to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Evermean! <:monster:1199952229826830437>
```/tableroll evermean to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Lizalfos! <:monster:1199952229826830437>
```/tableroll lizalfos to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Frox! <:monster:1199952229826830437>
```/tableroll frox to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Horriblin! <:monster:1199952229826830437>
```/tableroll horriblin to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Moblin! <:monster:1199952229826830437>
```/tableroll moblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Electric Wizzrobe! <:monster:1199952229826830437>
```/tableroll electricwizzrobe to continue"
