Roll,Item
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Skyloft Mantis <:skyloft_mantis:938297694252855410>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Hyrule Herb <:Hyrule_Herb:744756625046503505>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Deku Hornet <:deku_hornet:938297693934067793>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Hornet Larvae <:hornet_larvae:938297694382866472>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Smotherwing Butterfly <:Butterfly_Smotherwing:744755643726037082>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Summerwing Butterfly <:Butterfly_Summerwing:744755643675574273>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Thunderwing Butterfly <:Butterfly_Thunderwing:744755644371959822>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Volcanic Ladybug <:volcanic_ladybug:938297694504517674>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Winterwing Butterfly <:Butterfly_Winterwing:744755644397125644>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Armoranth <:Armoranth:744756613650448455>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Blue Nightshade <:Blue_Nightshade:744756171243651184>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Cane Sugar <:Cane_Sugar_Icon:744756613684134018>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
