roll,item
10,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Bokoblin Mask <:Bokoblinmask:1170415736498430035>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Ornamental Skull <:ornamental_skull:938297694416416769>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Bokoblin Fang <:Bokoblin_Fang:744755430336757781>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Monster Horn <:monster_horn:938297694420611102>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Bokoblin Horn <:Bokoblin_Horn:744755430764576909>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Golden Skull <:golden_skull:938297694366105650>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Bokoblin Guts <:Bokoblin_Guts:744755430814908537>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Spiked Boko Spear <:Spiked_Boko_Spear:938162363499184178>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found a Monster Fur <:Monster_Fur:938273747973046282>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Blin Bling <:Blin_Bling:938273747318747176>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Dragonbone Boko Shield <:Dragonbone_Boko_Shield:935378246499991572>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Dragon Bone Boko Bow <:Dragon_Bone_Boko_Bow:938196687535632404>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Dragonbone Boko Bat <:Dragonbone_Boko_Bat:938167742303985674>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Dragonbone Boko Club <:Dragonbone_Boko_Club:938167623634522122>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Dragonbone Boko Spear <:Dragonbone_Boko_Spear:938162360919670824>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
