roll,item
25,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
💥💀 The monster attacks! You lose ❤️❤️ 2 hearts!
```ㅤㅤㅤㅤㅤㅤ"
25,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
💥💀 The monster attacks! You lose ❤️ 1 heart!
But you fight back! Roll again!
```ㅤㅤㅤㅤㅤㅤ"
7,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Lizalfos Tail <:Lizalfos_Tail:744755438465056799>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Lizalfos Talon <:Lizalfos_Talon:744755436934135879>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Lizalfos Horn <:Lizalfos_Horn:744755435055349811>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"All in a days work. You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizal Boomerang <:Lizal_Boomerang:938167623701655632>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"All in a days work. You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizal Bow <:Lizal_Bow:938196687405609041>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"All in a days work. You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizal Shield <:Lizal_Shield:935376264007671889>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"All in a days work. You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizal Spear <:Lizal_Spear:938162362094075986>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
2,"Impressive! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Steel Lizal Bow <:Steel_Lizal_Bow:938196689305624666>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
2,"Impressive! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Steel Lizal Shield <:Steel_Lizal_Shield:935378246390939668>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
2,"Impressive! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizal Tri-Boomerang <:Lizal_TriBoomerang:938167623881998426>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
