roll,item
25,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
💥💀 Everything seems to be going wrong... you lose all hearts and the fight...
```ㅤㅤㅤㅤㅤㅤ"
25,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
💥💀 The monster attacks! You lose ❤️❤️ 2 hearts!
But you fight back! Roll again!
```ㅤㅤㅤㅤㅤㅤ"
25,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
💥💀 The monster attacks! You lose ❤️ 1 heart!
But you fight back! Roll again!
```ㅤㅤㅤㅤㅤㅤ"
4,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Icy Lizalfos Tail <:Lizalfos_Tail_Icy:744755438683422821>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Lizalfos Talon <:Lizalfos_Talon:744755436934135879>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
4,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You won a Lizalfos Horn <:Lizalfos_Horn:744755435055349811>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"Monster, meet your maker! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Forked Lizal Spear <:Forked_Lizal_Spear:938162361846599801>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"Monster, meet your maker! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Enhanced Lizal Spear <:Enhanced_Lizal_Spear:938162361276178442>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"Monster, meet your maker! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizal Forked Boomerang <:Lizal_Forked_Boomerang:938167621172494386>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"Monster, meet your maker! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Reinforced Lizal Shield <:Reinforced_Lizal_Shield:935378243534602321>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"Monster, meet your maker! You win!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Strengthened Lizal Bow <:Strengthened_Lizal_Bow:938196688529670156>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
