roll,item
1,"You opened the chest and found```
**1. **Freezard Water
**2. **Papyrus
**3. **Ruby
**4. **Ancient Battle Axe+
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Guardian Sword
**2. **Rock Salt
**3. **Cotton
**4. **Guardian Spear+
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Guardian Sword+
**2. **Fancy Fabric
**3. **Aurora Stone
**4. **Gibdo Bandage
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Monster Fur
**2. **Blue Bird Feather
**3. **Guardian Spear+
**4. **Guardian Sword+
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Chill Stone
**2. **Pretty Plume
**3. **Ancient Battle Axe+
**4. **Crystal Skull
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Vintage Linen
**2. **Jade Relic
**3. **Ancient Battle Axe++
**4. **Vintage Linen
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Rock Salt
**2. **Ancient Shield
**3. **Ancient Shield
**4. **Ancient Bow
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Gold Bar
**2. **Demon Carver
**3. **Guardian Shield+
**4. **Demon Carver
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Guardian Spear
**2. **Sandy Ribbon
**3. **Ancient Battle Axe++
**4. **Rainbow Coral
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
1,"You opened the chest and found```
**1. **Flint
**2. **Guardian Spear+
**3. **Aurora Stone
**4. **Spider Silk
``` If discovered via party everyone /roll 1d4 to deterimine who gets what. If duplicates are rolled, roll again. If party only has 3 or less party members the items not rolled will be donated to the town hall and submited to the Village Bazaar for purchase later. Please @ a mod to let them know if this happens
↳ Continue if exploring ➾ /tableroll explore(Eldin/Lanayru/Faron)"
