Roll,Item
10,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
A quiet day. No monsters were encountered. 
```"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Chuchu (Small)! <:monster:1199952229826830437>
```/tableroll chuchusmall to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Fire Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Rock Octorok! <:monster:1199952229826830437>
```/tableroll rockoctorok to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Bokoblin! <:monster:1199952229826830437>
```/tableroll bokoblin to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Large)! <:monster:1199952229826830437>
```/tableroll chuchularge to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Medium)! <:monster:1199952229826830437>
```/tableroll chuchumedium to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Chuchu (Small)! <:monster:1199952229826830437>
```/tableroll chuchusmall to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Keese! <:monster:1199952229826830437>
```/tableroll keese to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Lizalfos! <:monster:1199952229826830437>
```/tableroll lizalfos to continue"
8,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Bokoblin! <:monster:1199952229826830437>
```/tableroll blackbokoblin to continue"
6,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
<:monster:1199952229826830437> You encountered a Black Moblin! <:monster:1199952229826830437>
```/tableroll blackmoblin to continue"
